,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
221,Fare,0,PF,1579841165,74,-16.7,-151.02,83.12,10.74
227,Viedma,0,AR,1579841168,80,-40.81,-63.0,67.05,9.28
234,Irpa Irpa,75,BO,1579841170,55,-17.72,-66.27,66.2,9.17
239,Touros,75,BR,1579841172,94,-5.2,-35.46,77.0,2.24
253,Mar del Plata,53,AR,1579841027,83,-38.0,-57.56,72.32,8.05
255,Villazon,28,BO,1579841020,80,-22.09,-65.59,50.94,7.87
256,Ankazoabo,42,MG,1579841178,58,-22.28,44.52,80.19,3.18
262,Ayacucho,87,PE,1579841034,91,-13.16,-74.22,44.35,2.24
268,Saldanha,0,ZA,1579841052,88,-33.01,17.94,64.4,5.82
269,Rawson,100,AR,1579841109,48,-43.3,-65.1,64.44,21.74
270,Kieta,84,PG,1579841183,71,-6.22,155.63,84.25,3.87
271,Yulara,0,AU,1579841009,20,-25.24,130.99,93.2,12.75
280,Codrington,100,AU,1579841186,77,-38.27,141.97,63.43,23.51
281,Coquimbo,100,CL,1579841054,63,-29.95,-71.34,66.2,2.24
286,Esperance,90,AU,1579841045,64,-33.87,121.9,73.4,11.41
292,Isangel,75,VU,1579840899,62,-19.55,169.27,86.0,13.87
302,Kondoa,98,TZ,1579841196,86,-4.9,35.78,68.5,4.25
307,Maceio,100,BR,1579840945,83,-9.67,-35.74,77.0,4.7
309,Coolum Beach,93,AU,1579841198,79,-26.53,153.1,85.01,1.01
311,Tiarei,40,PF,1579841199,70,-17.53,-149.33,83.14,9.17
314,Nhulunbuy,75,AU,1579841073,74,-12.23,136.77,87.8,10.29
315,Olavarria,4,AR,1579841187,80,-36.89,-60.32,75.0,1.01
319,Chitungwiza,40,ZW,1579841202,93,-18.01,31.08,60.8,5.23
323,Dolores,6,AR,1579841074,84,-36.31,-57.68,68.77,9.48
325,Tual,5,ID,1579841204,76,-5.67,132.75,83.8,13.8
327,Katherine,75,AU,1579841204,47,-14.47,132.27,95.0,8.05
335,Araguari,92,BR,1579841207,97,-18.65,-48.19,68.32,6.64
343,Bulungu,39,CD,1579841210,74,-4.55,18.6,74.32,0.63
348,Comodoro Rivadavia,47,AR,1579840950,39,-45.87,-67.5,62.6,18.34
350,Maracacume,100,BR,1579841213,98,-2.04,-45.96,73.31,1.77
353,Rocha,0,UY,1579841014,96,-34.48,-54.33,61.63,6.4
354,Port Lincoln,26,AU,1579840940,50,-34.73,135.87,73.65,13.44
358,Calama,75,CL,1579841215,77,-22.47,-68.93,59.0,12.75
361,Kupang,40,ID,1579841216,89,-10.17,123.58,84.2,11.41
