,0
503,59.94
504,52.63
505,64.5
506,-20.28
507,-4.55
508,50.23
509,50.17
510,-2.85
511,42.94
512,42.86
513,25.28
514,44.76
515,29.9
516,20.86
517,60.38
518,64.25
519,-4.88
520,-9.35
521,-4.98
522,41.0
523,9.32
524,34.88
525,27.31
526,17.68
527,3.12
528,66.94
529,-30.72
530,61.99
531,39.15
532,-0.61
533,41.53
534,39.18
535,37.8
536,18.74
537,39.05
538,53.1
539,-5.36
540,-20.34
541,37.73
542,-16.37
543,33.6
544,43.56
545,59.27
546,34.98
547,32.35
548,-21.43
549,14.4
550,5.38
551,8.99
552,68.31
553,-18.17
554,34.04
555,26.59
556,12.48
557,44.2
558,63.45
559,52.52
560,46.25
561,-22.0
562,-3.6
563,7.77
564,71.04
565,45.29
